合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
br2503C15400,85,85,39,68.0,88.0,68.0,-20.0,-20.0,640,454,64,18.2065,0.15843,0,20250206
br2503C15600,62,62,27,45.0,58.0,44.0,-13.0,-14.0,759,688,41,14.5335,0.110742,0,20250206
br2503C15800,38,41,18,31.0,38.0,27.0,-7.0,-11.0,775,892,-16,10.048,0.075001,0,20250206
br2503C16000,32,37,12,19.0,24.0,16.0,-5.0,-8.0,1957,1415,266,20.175,0.048715,0,20250206
br2503C16200,23,23,10,15.0,15.0,10.0,0.0,-5.0,692,503,-46,4.7595,0.030872,0,20250206
br2503C16400,19,20,7,10.0,9.0,5.0,1.0,-4.0,1692,2581,-47,9.0505,0.018693,0,20250206
br2503C16600,13,13,5,8.0,5.0,3.0,3.0,-2.0,511,801,86,1.858,0.01108,0,20250206
br2503C16800,9,9,4,5.0,3.0,1.0,2.0,-2.0,248,187,40,0.7125,0.006299,0,20250206
br2503C17000,6,6,2,3.0,1.0,1.0,2.0,0.0,537,499,-33,0.91,0.003473,0,20250206
br2503P11400,1,1,1,1.0,1.0,1.0,0.0,0.0,25,294,-2,0.0125,-1.5e-05,0,20250206
br2503P11600,1,1,1,1.0,1.0,1.0,0.0,0.0,26,189,-2,0.013,-5.4e-05,0,20250206
br2503P11800,3,3,2,2.0,1.0,1.0,1.0,0.0,179,146,45,0.234,-0.000177,0,20250206
br2503P12000,4,4,1,2.0,1.0,1.0,1.0,0.0,569,787,3,0.7515,-0.000518,0,20250206
br2503P12200,6,7,3,3.0,1.0,1.0,2.0,0.0,444,202,-78,0.9805,-0.001374,0,20250206
br2503P12400,7,9,3,4.0,1.0,1.0,3.0,0.0,629,282,49,1.8915,-0.003319,0,20250206
br2503P12600,12,13,6,6.0,2.0,2.0,4.0,0.0,405,434,-9,2.017,-0.007343,0,20250206
br2503P12800,15,18,8,8.0,6.0,4.0,2.0,-2.0,360,498,1,2.1035,-0.01508,0,20250206
br2503P13000,21,29,10,12.0,11.0,9.0,1.0,-2.0,3938,2685,116,36.24,-0.028742,0,20250206
br2503P13200,33,40,15,17.0,21.0,18.0,-4.0,-3.0,575,739,192,7.413,-0.050874,0,20250206
br2503P13400,45,60,25,28.0,37.0,33.0,-9.0,-4.0,1259,886,117,26.9675,-0.084027,0,20250206
br2503P13600,57,91,39,43.0,61.0,56.0,-18.0,-5.0,1904,1146,298,61.295,-0.13017,0,20250206
br2503P13800,90,128,57,62.0,96.0,91.0,-34.0,-5.0,1493,654,-142,69.766,-0.190187,0,20250206
br2503P14000,129,185,87,98.0,145.0,140.0,-47.0,-5.0,14133,2776,35,944.409,-0.264422,0,20250206
br2503P14200,170,251,127,139.0,210.0,206.0,-71.0,-4.0,1213,691,1,113.1235,-0.349338,0,20250206
br2503P14400,233,343,183,197.0,290.0,289.0,-93.0,-1.0,998,516,-11,132.504,-0.441021,0,20250206
br2503P14600,314,458,260,289.0,390.0,391.0,-101.0,1.0,540,778,30,92.3515,-0.534863,0,20250206
br2503P14800,412,584,362,376.0,505.0,512.0,-129.0,7.0,132,484,-27,31.688,-0.625371,0,20250206
br2503P15000,617,734,498,525.0,639.0,649.0,-114.0,10.0,19,275,-4,5.932,-0.70878,0,20250206
br2503P15200,843,872,643,672.0,786.0,802.0,-114.0,16.0,20,110,12,7.0645,-0.780962,0,20250206
br2503P15400,,,,968.0,947.0,968.0,21.0,21.0,0,91,0,0.0,-0.841111,0,20250206
br2503P15600,,,,1143.0,1118.0,1143.0,25.0,25.0,0,39,0,0.0,-0.888886,0,20250206
br2503P15800,,,,1327.0,1298.0,1327.0,29.0,29.0,0,42,0,0.0,-0.92473,0,20250206
br2503P16000,,,,1516.0,1483.0,1516.0,33.0,33.0,0,19,0,0.0,-0.95114,0,20250206
br2503P16200,,,,1709.0,1674.0,1709.0,35.0,35.0,0,11,0,0.0,-0.969121,0,20250206
br2503P16400,,,,1904.0,1868.0,1904.0,36.0,36.0,0,10,0,0.0,-0.981461,0,20250206
br2503P16600,,,,2102.0,2064.0,2102.0,38.0,38.0,0,0,0,0.0,-0.989251,0,20250206
br2503P16800,,,,2301.0,2262.0,2301.0,39.0,39.0,0,0,0,0.0,-0.994232,0,20250206
br2503P17000,,,,2500.0,2461.0,2500.0,39.0,39.0,0,0,0,0.0,-0.997274,0,20250206
br2504C12000,2471,2471,2471,2471.0,2290.0,2347.0,181.0,57.0,1,2,1,1.2355,0.980411,0,20250206
br2504C12200,2275,2275,2275,2275.0,2098.0,2153.0,177.0,55.0,1,2,1,1.1375,0.969173,0,20250206
br2504C12400,2080,2080,2080,2080.0,1909.0,1962.0,171.0,53.0,1,2,1,1.04,0.953506,0,20250206
br2504C12600,,,,1776.0,1725.0,1776.0,51.0,51.0,0,1,0,0.0,0.933021,0,20250206
br2504C12800,1585,1585,1585,1585.0,1547.0,1594.0,38.0,47.0,5,6,5,3.9625,0.907035,0,20250206
br2504C13000,1415,1415,1398,1398.0,1375.0,1420.0,23.0,45.0,10,11,10,7.0325,0.874196,0,20250206
br2504C13200,1209,1209,1209,1209.0,1212.0,1253.0,-3.0,41.0,2,30,0,1.209,0.834898,0,20250206
