ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
MO2603-P-7100.CFX,20260119,CFFEX,29.6,30.6,29.6,30.6,22.2,23.8,23.8,405.0,101.012,851.0,中证1000指数期权2603认沽7100,P,7100.0,20251222,20260320
MO2603-P-7200.CFX,20260119,CFFEX,38.0,38.0,38.0,41.2,28.8,30.4,30.6,511.0,162.048,1687.0,中证1000指数期权2603认沽7200,P,7200.0,20250324,20260320
MO2603-P-7300.CFX,20260119,CFFEX,49.0,49.6,49.8,50.6,36.8,39.6,39.6,557.0,232.328,679.0,中证1000指数期权2603认沽7300,P,7300.0,20251222,20260320
MO2603-P-7400.CFX,20260119,CFFEX,63.6,63.6,66.4,68.2,48.8,53.0,54.0,1140.0,628.182,3075.0,中证1000指数期权2603认沽7400,P,7400.0,20250721,20260320
MO2603-P-7500.CFX,20260119,CFFEX,80.4,80.4,81.0,84.6,61.4,65.6,65.8,972.0,650.304,1119.0,中证1000指数期权2603认沽7500,P,7500.0,20251222,20260320
MO2603-P-7600.CFX,20260119,CFFEX,101.0,101.0,102.4,107.8,78.6,87.8,86.2,977.0,850.282,1614.0,中证1000指数期权2603认沽7600,P,7600.0,20250729,20260320
MO2603-P-7700.CFX,20260119,CFFEX,126.0,126.0,133.8,134.8,99.4,110.0,110.0,821.0,926.662,885.0,中证1000指数期权2603认沽7700,P,7700.0,20251222,20260320
MO2603-P-7800.CFX,20260119,CFFEX,158.0,158.6,160.8,166.8,125.8,137.6,137.6,881.0,1215.368,917.0,中证1000指数期权2603认沽7800,P,7800.0,20250812,20260320
MO2603-P-7900.CFX,20260119,CFFEX,194.6,196.8,200.6,207.0,156.8,174.0,173.0,932.0,1611.726,1184.0,中证1000指数期权2603认沽7900,P,7900.0,20251222,20260320
MO2603-P-8000.CFX,20260119,CFFEX,239.4,239.4,242.8,252.8,194.2,211.2,212.4,643.0,1362.804,1140.0,中证1000指数期权2603认沽8000,P,8000.0,20250818,20260320
MO2603-P-8100.CFX,20260119,CFFEX,290.0,290.0,287.2,302.2,237.6,260.8,260.8,408.0,1062.446,450.0,中证1000指数期权2603认沽8100,P,8100.0,20251222,20260320
MO2603-P-8200.CFX,20260119,CFFEX,344.6,344.6,357.2,363.2,285.0,313.2,313.2,1090.0,3432.044,1320.0,中证1000指数期权2603认沽8200,P,8200.0,20250821,20260320
MO2603-P-8300.CFX,20260119,CFFEX,399.8,406.4,409.6,409.6,337.4,369.8,369.8,388.0,1396.444,577.0,中证1000指数期权2603认沽8300,P,8300.0,20251225,20260320
MO2603-P-8400.CFX,20260119,CFFEX,464.8,471.0,472.6,490.6,398.8,427.0,434.4,220.0,948.852,658.0,中证1000指数期权2603认沽8400,P,8400.0,20250826,20260320
MO2603-P-8500.CFX,20260119,CFFEX,533.0,531.4,555.6,561.8,465.4,496.6,500.0,138.0,688.96,186.0,中证1000指数期权2603认沽8500,P,8500.0,20260106,20260320
MO2603-P-8600.CFX,20260119,CFFEX,607.8,612.8,622.2,640.0,540.0,567.6,574.4,139.0,796.826,451.0,中证1000指数期权2603认沽8600,P,8600.0,20251010,20260320
MO2603-P-8700.CFX,20260119,CFFEX,684.4,679.6,682.6,700.4,612.2,641.2,649.8,80.0,508.34,60.0,中证1000指数期权2603认沽8700,P,8700.0,20260107,20260320
MO2603-P-8800.CFX,20260119,CFFEX,765.0,779.8,706.8,706.8,689.0,692.8,728.8,31.0,218.794,66.0,中证1000指数期权2603认沽8800,P,8800.0,20260109,20260320
MO2603-P-8900.CFX,20260119,CFFEX,848.4,852.6,788.0,788.0,769.2,773.6,811.0,23.0,179.02,39.0,中证1000指数期权2603认沽8900,P,8900.0,20260112,20260320
MO2603-P-9000.CFX,20260119,CFFEX,934.4,990.2,937.0,937.0,850.8,856.2,895.0,30.0,260.558,78.0,中证1000指数期权2603认沽9000,P,9000.0,20260112,20260320
MO2603-P-9100.CFX,20260119,CFFEX,1022.0,1073.8,953.0,978.8,942.8,942.8,981.4,29.0,277.954,23.0,中证1000指数期权2603认沽9100,P,9100.0,20260113,20260320
MO2603-P-9200.CFX,20260119,CFFEX,1111.2,1100.0,1139.0,1139.0,1027.6,1042.6,1068.2,62.0,663.498,37.0,中证1000指数期权2603认沽9200,P,9200.0,20260113,20260320
MO2604-C-7400.CFX,20260119,CFFEX,825.6,,834.2,888.4,834.2,888.4,857.4,9.0,76.296,3.0,中证1000指数期权2604认购7400,C,7400.0,20260119,20260417
MO2604-C-7500.CFX,20260119,CFFEX,752.2,,813.4,813.4,805.6,805.6,780.4,4.0,31.768,2.0,中证1000指数期权2604认购7500,C,7500.0,20260119,20260417
MO2604-C-7600.CFX,20260119,CFFEX,682.4,,,,,682.4,707.6,0.0,0.0,0.0,中证1000指数期权2604认购7600,C,7600.0,20260119,20260417
MO2604-C-7700.CFX,20260119,CFFEX,616.4,,622.4,622.4,622.4,622.4,639.2,2.0,12.448,2.0,中证1000指数期权2604认购7700,C,7700.0,20260119,20260417
MO2604-C-7800.CFX,20260119,CFFEX,554.6,,551.8,600.0,551.8,582.2,575.2,8.0,45.996,6.0,中证1000指数期权2604认购7800,C,7800.0,20260119,20260417
MO2604-C-7900.CFX,20260119,CFFEX,496.8,,489.2,567.2,480.6,536.8,520.6,17.0,87.154,3.0,中证1000指数期权2604认购7900,C,7900.0,20260119,20260417
MO2604-C-8000.CFX,20260119,CFFEX,443.0,,454.8,498.6,435.2,470.0,463.4,54.0,251.964,27.0,中证1000指数期权2604认购8000,C,8000.0,20260119,20260417
MO2604-C-8100.CFX,20260119,CFFEX,393.2,,414.2,454.4,389.0,430.4,413.8,57.0,236.392,23.0,中证1000指数期权2604认购8100,C,8100.0,20260119,20260417
MO2604-C-8200.CFX,20260119,CFFEX,347.6,,372.4,392.8,345.0,371.6,371.6,118.0,439.596,75.0,中证1000指数期权2604认购8200,C,8200.0,20260119,20260417
MO2604-C-8300.CFX,20260119,CFFEX,306.0,,330.0,368.6,324.8,334.4,328.2,156.0,534.764,80.0,中证1000指数期权2604认购8300,C,8300.0,20260119,20260417
